Justin Gaethje,Record: 19-2-0,"5' 11""",155 lbs.,"70""",Orthodox,14-Nov-88,8.53,54%,53%,,0,0%,80%,0
Tecia Torres,Record: 10-3-0,"5' 1""",115 lbs.,"60""",Orthodox,16-Aug-89,4.44,48%,65%,,0.83,17%,42%,0.1
Michelle Waterson,Record: 15-6-0,"5' 3""",115 lbs.,"62""",Orthodox,6-Jan-86,3.17,60%,52%,,2.69,86%,58%,1.6
Paul Felder,Record: 15-4-0,"5' 11""",170 lbs.,"70""",Orthodox,25-Apr-84,3.52,43%,51%,,0.36,33%,59%,0.4
Charles Oliveira,Record: 23-8-0 (1 NC),"5' 10""",155 lbs.,"74""",Orthodox,17-Oct-89,3.02,50%,51%,,2.83,41%,60%,2.8
Yancy Medeiros,Record: 15-5-0 (1 NC),"5' 10""",170 lbs.,"75""",Orthodox,7-Sep-87,4.39,36%,48%,,0.15,33%,83%,0.6
Alex Oliveira,Record: 18-4-1 (2 NC),"5' 11""",170 lbs.,"76""",Orthodox,21-Feb-88,2.96,52%,46%,,3.47,38%,57%,0.9
David Teymur,Record: 8-1-0,"5' 9""",155 lbs.,"73""",Southpaw,1-May-89,4.72,42%,55%,,1.04,33%,82%,0
Drakkar Klose,Record: 9-1-1,"5' 9""",155 lbs.,"70""",Orthodox,9-Mar-88,3.35,51%,63%,,2,40%,69%,0
Felice Herrig,Record: 14-7-0,"5' 4""",115 lbs.,"65""",Orthodox,18-Sep-84,3.74,35%,52%,,1.23,31%,69%,1.1
Cortney Casey,Record: 8-6-0,"5' 7""",115 lbs.,"67""",Orthodox,5-May-87,4.8,38%,52%,,0.4,30%,24%,0.5
Amanda Cooper,Record: 4-4-0,"5' 3""",115 lbs.,"64""",Switch,22-Oct-91,3.61,42%,49%,,1.32,42%,20%,1.8
Angela Magana,Record: 11-9-0,"5' 1""",115 lbs.,"65""",,2-Aug-83,1.53,28%,42%,,0.4,25%,28%,0.4
Abdul Razak Alhassan,Record: 9-1-0,"5' 10""",170 lbs.,"73""",Orthodox,11-Aug-85,4.13,44%,59%,,0.59,33%,50%,0
Sabah Homasi,Record: 11-8-0,"6' 0""",170 lbs.,"72""",Orthodox,19-Oct-88,4.98,48%,47%,,2.8,50%,66%,0
Dominick Reyes,Record: 9-0-0,"6' 4""",205 lbs.,"77""",Southpaw,26-Dec-89,6.95,51%,63%,,2.13,50%,80%,2.1
Jeremy Kimball,Record: 15-8-0,"6' 0""",205 lbs.,"72""",Switch,3-Jan-91,2.81,46%,49%,,1.41,20%,50%,0
