Ross Pearson,Record: 22-15-0 (1 NC),"5' 8""",155 lbs.,"69""",Orthodox,9/26/1984,3.67, 0.40 , 0.62 ,0.75, 0.36 , 0.75 ,0
Katlyn Chookagian,Record: 11-1-0,"5' 9""",125 lbs.,"68""",Orthodox,12/28/1988,4.03, 0.30 , 0.64 ,0, -   , 0.56 ,0.2
Alexis Davis,Record: 19-8-0,"5' 6""",125 lbs.,"68""",Orthodox,10/4/1984,4.18, 0.44 , 0.55 ,0.8, 0.38 , 0.34 ,1
Dustin Ortiz,Record: 19-7-0,"5' 5""",125 lbs.,"65""",Orthodox,12/25/1988,2.91, 0.43 , 0.56 ,3.01, 0.35 , 0.54 ,0.1
Matheus Nicolau,Record: 13-3-1,"5' 6""",125 lbs.,"66""",,1/6/1993,3.83, 0.51 , 0.70 ,1.9, 0.66 , 1.00 ,1.6
Nina Ansaroff,Record: 9-5-0,"5' 5""",115 lbs.,"64""",Orthodox,12/3/1985,4.82, 0.47 , 0.55 ,0.41, 0.40 , 0.80 ,0.8
Randa Markos,Record: 8-7-0,"5' 4""",115 lbs.,"63""",Orthodox,8/10/1985,2.88, 0.41 , 0.62 ,1.57, 0.25 , 0.53 ,0.2
Devin Powell,Record: 9-3-0,"6' 0""",155 lbs.,"73""",Orthodox,3/1/1988,2.42, 0.41 , 0.46 ,0, -   , -   ,0.9
Alvaro Herrera,Record: 9-6-0,"6' 0""",155 lbs.,"74""",,5/14/1990,1.89, 0.38 , 0.55 ,0, -   , 0.33 ,1.1
Anthony Smith,Record: 30-13-0,"6' 4""",205 lbs.,"76""",Orthodox,7/26/1988,3.35, 0.46 , 0.46 ,0.5, 0.27 , 0.48 ,0.8
Mauricio Rua,Record: 25-11-0,"6' 1""",205 lbs.,"76""",Orthodox,11/25/1981,3.75, 0.51 , 0.55 ,2.16, 0.48 , 0.45 ,0.9
Corey Anderson,Record: 12-4-0,"6' 3""",205 lbs.,"79""",Orthodox,9/22/1989,4.55, 0.47 , 0.59 ,5.48, 0.52 , 0.75 ,0
Glover Teixeira,Record: 27-7-0,"6' 2""",205 lbs.,"76""",Orthodox,10/28/1979,3.5, 0.43 , 0.56 ,2.16, 0.46 , 0.60 ,0.8
Abu Azaitar,Record: 14-1-1 (1 NC),"5' 9""",185 lbs.,"76""",Orthodox,3/10/1986,3.2, 0.37 , 0.57 ,1, 1.00 , 0.25 ,0
Vitor Miranda,Record: 13-7-0,"6' 1""",185 lbs.,"77""",Orthodox,3/10/1979,2.98, 0.45 , 0.58 ,0.95, 0.55 , 0.50 ,0.2
Marcin Tybura,Record: 17-4-0,"6' 3""",249 lbs.,"78""",Orthodox,11/9/1985,3.6, 0.52 , 0.52 ,1.61, 0.61 , 0.79 ,0.1
Stefan Struve,Record: 32-11-0,"6' 11""",265 lbs.,"84""",Orthodox,2/18/1988,3.14, 0.45 , 0.47 ,0.54, 0.50 , 0.54 ,1.8
Danny Roberts,Record: 16-3-0,"6' 1""",170 lbs.,"74""",Southpaw,7/14/1987,3.71, 0.41 , 0.55 ,0, -   , 0.57 ,0.5
David Zawada,Record: 16-4-0,"6' 0""",170 lbs.,"75""",Orthodox,8/1/1990,2.2, 0.51 , 0.48 ,2, 0.40 , 1.00 ,5
Nasrat Haqparast,Record: 9-2-0,"5' 10""",155 lbs.,"72""",Southpaw,8/22/1995,4, 0.43 , 0.77 ,0.5, 0.33 , 0.78 ,0
Marc Diakiese,Record: 12-3-0,"5' 10""",155 lbs.,"73""",Orthodox,3/16/1993,2.6, 0.32 , 0.54 ,2.05, 0.31 , 0.61 ,0
Damir Hadzovic,Record: 12-4-0,"5' 9""",155 lbs.,"70""",Orthodox,8/8/1986,2.65, 0.45 , 0.65 ,0, -   , 0.31 ,0.3
Nick Hein,Record: 14-4-0 (1 NC),"5' 6""",155 lbs.,"66""",Southpaw,4/24/1984,2.54, 0.33 , 0.62 ,0.8, 0.33 , 0.83 ,0
Bartosz Fabinski,Record: 14-2-0,"6' 0""",170 lbs.,"75""",Orthodox,4/26/1986,2.24, 0.72 , 0.60 ,7.33, 0.70 , 1.00 ,0
Emil Meek,Record: 9-4-1 (1 NC),"5' 11""",170 lbs.,"74""",Switch,8/20/1988,2.24, 0.38 , 0.32 ,0.33, 0.50 , 0.48 ,1.3
Nad Narimani,Record: 11-2-0,"5' 8""",145 lbs.,"70""",Orthodox,4/14/1987,3, 0.65 , 0.43 ,6, 0.54 , -   ,0
Khalid Taha,Record: 12-2-0,"5' 5""",145 lbs.,"69""",Orthodox,2/15/1992,2.13, 0.56 , 0.34 ,0, -   , 0.45 ,0
Aleksandar Rakic,Record: 10-1-0,"6' 4""",205 lbs.,"78""",Orthodox,2/6/1992,5, 0.51 , 0.55 ,1.5, 0.75 , 0.86 ,0
Justin Ledet,Record: 9-1-0 (1 NC),"6' 4""",205 lbs.,"80""",Orthodox,9/28/1988,3.47, 0.41 , 0.49 ,0.32, 0.50 , 0.40 ,0.3
Manny Bermudez,Record: 13-0-0,"5' 10""",135 lbs.,"71""",Orthodox,7/16/1994,1.76, 0.45 , 0.61 ,1.76, 0.20 , -   ,8.8
Davey Grant,Record: 10-4-0,"5' 8""",135 lbs.,"69""",,12/18/1985,3.6, 0.53 , 0.68 ,1.25, 0.30 , 0.64 ,0
Darko Stosic,Record: 13-1-0,"6' 0""",205 lbs.,"76""",Orthodox,2/9/1992,2.8, 0.56 , 0.75 ,0, -   , 1.00 ,0
Jeremy Kimball,Record: 15-8-0,"6' 0""",205 lbs.,"72""",Switch,1/3/1991,2.81, 0.46 , 0.49 ,1.41, 0.20 , 0.50 ,0
Liu Pingyuan,Record: 12-5-0,"5' 6""",135 lbs.,"72""",Orthodox,2/13/1993,2.13, 0.41 , 0.51 ,1, 1.00 , 0.62 ,2
Damian Stasiak,Record: 10-6-0,"5' 5""",135 lbs.,"70""",Orthodox,2/20/1990,1.86, 0.36 , 0.52 ,2.64, 0.35 , 0.43 ,0.6
Junior Dos Santos,Record: 19-5-0,"6' 4""",238 lbs.,"77""",Orthodox,1/30/1984,4.83, 0.48 , 0.58 ,0.36, 0.55 , 0.80 ,0.1
Blagoy Ivanov,Record: 16-2-0 (1 NC),"5' 11""",250 lbs.,"73""",Southpaw,10/9/1986,2.04, 0.22 , 0.55 ,0, -   , 1.00 ,0
Sage Northcutt,Record: 11-2-0,"6' 0""",170 lbs.,"71""",Orthodox,3/1/1996,3.58, 0.52 , 0.58 ,1.81, 0.34 , 0.41 ,0.6
Zak Ottow,Record: 16-6-0,"5' 11""",170 lbs.,"72""",Orthodox,12/22/1986,3.05, 0.39 , 0.56 ,0.77, 0.30 , 0.61 ,0.5
Rick Glenn,Record: 21-5-1,"6' 0""",145 lbs.,"70""",Southpaw,4/12/1989,4.19, 0.43 , 0.54 ,0.8, 0.16 , 0.65 ,0.4
Dennis Bermudez,Record: 17-9-0,"5' 6""",145 lbs.,"66""",Orthodox,12/13/1986,4.44, 0.45 , 0.59 ,3.8, 0.38 , 0.82 ,1
Niko Price,Record: 12-1-0 (1 NC),"6' 0""",170 lbs.,"76""",Orthodox,9/29/1989,2.45, 0.29 , 0.58 ,1.47, 0.30 , 0.75 ,1.8
Randy Brown,Record: 10-3-0,"6' 3""",170 lbs.,"78""",Orthodox,7/8/1990,2.89, 0.44 , 0.55 ,0.99, 0.41 , 0.77 ,0.6
Chad Mendes,Record: 18-4-0,"5' 6""",145 lbs.,"66""",Orthodox,5/1/1985,2.76, 0.49 , 0.68 ,4.08, 0.54 , 1.00 ,0.3
Myles Jury,Record: 17-3-0,"5' 10""",145 lbs.,"73""",Orthodox,10/31/1988,2.61, 0.40 , 0.71 ,2.5, 0.55 , 0.50 ,0.3
Cat Zingano,Record: 10-3-0,"5' 6""",135 lbs.,"68""",Southpaw,7/1/1982,2.56, 0.61 , 0.46 ,2.81, 0.65 , 0.42 ,0.9
Marion Reneau,Record: 9-4-1,"5' 6""",135 lbs.,"68""",Orthodox,6/20/1977,3.41, 0.41 , 0.67 ,0.26, 1.00 , 0.52 ,1.2
Alejandro Perez,Record: 22-6-1,"5' 6""",135 lbs.,"67""",Orthodox,9/2/1989,3.71, 0.35 , 0.65 ,0.46, 0.16 , 0.63 ,0.1
Eddie Wineland,Record: 23-13-1,"5' 7""",135 lbs.,"69""",Orthodox,6/26/1984,3.21, 0.28 , 0.70 ,0.29, 0.33 , 0.85 ,0.1
Alexander Volkanovski,Record: 18-1-0,"5' 6""",145 lbs.,"71""",Orthodox,9/29/1988,6.09, 0.63 , 0.63 ,3.87, 0.41 , 0.82 ,0.7
Darren Elkins,Record: 25-6-0,"5' 10""",145 lbs.,"71""",Orthodox,5/16/1984,3.29, 0.37 , 0.54 ,2.64, 0.35 , 0.60 ,1.4
Said Nurmagomedov,Record: 12-1-0,"5' 8""",125 lbs.,"70""",Orthodox,4/5/1992,4.33, 0.57 , 0.63 ,1, 0.09 , 1.00 ,0
Justin Scoggins,Record: 11-5-0,"5' 7""",125 lbs.,"66""",Southpaw,5/2/1992,3.56, 0.51 , 0.55 ,3.42, 0.63 , 0.82 ,0.5
Raoni Barcelos,Record: 12-1-0,"5' 7""",145 lbs.,"67""",Orthodox,5/1/1987,7.14, 0.56 , 0.54 ,3.92, 0.75 , 0.66 ,0
Kurt Holobaugh,Record: 17-5-0 (1 NC),"5' 11""",145 lbs.,"73""",Orthodox,9/8/1986,4.9, 0.44 , 0.51 ,0.67, 0.40 , 0.50 ,1
Liz Carmouche,Record: 11-6-0,"5' 6""",125 lbs.,"66""",Orthodox,2/19/1984,3.3, 0.56 , 0.60 ,2.95, 0.52 , 0.66 ,0.2
Jennifer Maia,Record: 15-5-1,"5' 4""",125 lbs.,"64""",Orthodox,10/6/1988,2.8, 0.40 , 0.32 ,0, -   , 0.25 ,0
Mark De La Rosa,Record: 10-1-0,"5' 6""",135 lbs.,"65""",Orthodox,8/31/1994,1.97, 0.56 , 0.60 ,2.19, 0.66 , -   ,1.1
Elias Garcia,Record: 6-1-0,"5' 5""",125 lbs.,"67""",Southpaw,9/13/1992,2.71, 0.35 , 0.43 ,0, -   , 0.33 ,0
Jessica Aguilar,Record: 20-6-0,"5' 3""",115 lbs.,"63""",Orthodox,5/8/1982,5.67, 0.51 , 0.59 ,1.33, 0.28 , 0.33 ,0
Jodie Esquibel,Record: 6-4-0,"5' 3""",115 lbs.,"64""",Orthodox,5/7/1986,4.87, 0.40 , 0.52 ,0, -   , 0.87 ,0
Daniel Cormier,Record: 21-1-0 (1 NC),"5' 11""",235 lbs.,"72""",Orthodox,3/20/1979,3.88, 0.49 , 0.57 ,1.85, 0.42 , 0.78 ,0.5
Stipe Miocic,Record: 18-3-0,"6' 4""",240 lbs.,"80""",Orthodox,8/19/1982,4.76, 0.51 , 0.62 ,2.38, 0.38 , 0.75 ,0
Derrick Lewis,Record: 20-5-0 (1 NC),"6' 3""",260 lbs.,"79""",Orthodox,2/7/1985,2.9, 0.50 , 0.51 ,0.58, 0.26 , 0.57 ,0
Francis Ngannou,Record: 11-3-0,"6' 4""",250 lbs.,"83""",Orthodox,9/5/1986,1.79, 0.34 , 0.47 ,0, -   , 0.68 ,0.5
Mike Perry,Record: 12-3-0,"5' 10""",170 lbs.,"71""",Orthodox,9/15/1991,4.12, 0.45 , 0.58 ,0.7, 0.50 , 0.66 ,0
Paul Felder,Record: 15-4-0,"5' 11""",170 lbs.,"70""",Orthodox,4/25/1984,3.52, 0.43 , 0.51 ,0.36, 0.33 , 0.59 ,0.4
Anthony Pettis,Record: 21-7-0,"5' 10""",155 lbs.,"72""",Orthodox,1/27/1987,2.78, 0.45 , 0.56 ,0.8, 0.54 , 0.58 ,1.3
Michael Chiesa,Record: 14-4-0,"6' 1""",155 lbs.,"75""",Southpaw,12/7/1987,2.17, 0.37 , 0.50 ,2.87, 0.39 , 0.68 ,1.4
Khalil Rountree Jr.,Record: 8-2-0 (1 NC),"6' 1""",205 lbs.,"76""",Southpaw,2/26/1990,2.31, 0.34 , 0.40 ,0, -   , 0.50 ,0.4
Gokhan Saki,Record: 1-2-0,"6' 0""",205 lbs.,"73""",Orthodox,10/19/1983,7.09, 0.58 , 0.53 ,0, -   , 1.00 ,0
Paulo Costa,Record: 12-0-0,"6' 1""",185 lbs.,"72""",,4/21/1991,8.83, 0.59 , 0.50 ,0, -   , 0.81 ,0
Uriah Hall,Record: 14-9-0,"6' 0""",185 lbs.,"79""",Orthodox,7/31/1984,3.44, 0.52 , 0.52 ,0.93, 0.38 , 0.71 ,0.3
Raphael Assuncao,Record: 27-5-0,"5' 5""",135 lbs.,"66""",Orthodox,7/19/1982,3.38, 0.40 , 0.70 ,1.4, 0.36 , 0.79 ,0.3
Rob Font,Record: 15-4-0,"5' 8""",135 lbs.,"71""",Orthodox,6/25/1987,4.38, 0.39 , 0.63 ,1.13, 0.29 , 0.25 ,0.9
Drakkar Klose,Record: 9-1-1,"5' 9""",155 lbs.,"70""",Orthodox,3/9/1988,3.35, 0.51 , 0.63 ,2, 0.40 , 0.69 ,0
Lando Vannata,Record: 9-3-1,"5' 9""",155 lbs.,"71""",Orthodox,3/14/1992,5.18, 0.43 , 0.51 ,1.67, 0.50 , 0.71 ,0.3
Curtis Millender,Record: 16-3-0,"6' 2""",170 lbs.,"76""",Orthodox,12/1/1987,3.55, 0.41 , 0.61 ,0.81, 1.00 , 0.57 ,0
Max Griffin,Record: 14-5-0,"5' 11""",170 lbs.,"76""",Orthodox,11/29/1985,3.45, 0.43 , 0.54 ,0.26, 0.25 , 0.57 ,0.3
Dan Hooker,Record: 18-7-0,"6' 0""",155 lbs.,"75""",Switch,2/13/1990,4.02, 0.43 , 0.56 ,0.54, 0.42 , 0.76 ,0.5
Gilbert Burns,Record: 13-3-0,"5' 10""",155 lbs.,"71""",Orthodox,7/20/1986,2.75, 0.39 , 0.57 ,2.23, 0.36 , 0.38 ,0.9
Emily Whitmire,Record: 3-2-0,"5' 5""",115 lbs.,"63""",,5/24/1991,3.6, 0.31 , 0.57 ,0.87, 0.50 , 0.75 ,0
Jamie Moyle,Record: 4-3-0,"5' 1""",115 lbs.,"65""",Orthodox,3/17/1989,4.51, 0.51 , 0.65 ,1, 0.21 , 0.50 ,0
Israel Adesanya,Record: 14-0-0,"6' 4""",185 lbs.,"80""",Switch,7/22/1989,4.69, 0.55 , 0.71 ,0, -   , 0.81 ,0.3
Brad Tavares,Record: 17-6-0,"6' 1""",185 lbs.,"74""",Orthodox,12/21/1987,3.02, 0.40 , 0.55 ,1.04, 0.27 , 0.77 ,0
Michael Trizano,Record: 8-0-0,"5' 11""",155 lbs.,"73""",Orthodox,12/31/1991,2.8, 0.59 , 0.61 ,0, -   , 0.83 ,1
Joe Giannetti,Record: 7-1-0,"6' 0""",155 lbs.,"74""",Southpaw,7/5/1995,1.93, 0.38 , 0.40 ,1, 0.16 , -   ,0
Brad Katona,Record: 8-0-0,"5' 6""",145 lbs.,"65""",Orthodox,12/19/1991,4.73, 0.63 , 0.78 ,2, 0.28 , 1.00 ,0
Jay Cucciniello,Record: 9-1-0,"5' 7""",155 lbs.,--,Orthodox,7/23/1986,0.93, 0.21 , 0.36 ,0, -   , 0.71 ,0
Alex Caceres,Record: 14-11-0 (1 NC),"5' 10""",145 lbs.,"73""",Southpaw,6/20/1988,3.86, 0.49 , 0.63 ,0.57, 0.75 , 0.59 ,0.8
Martin Bravo,Record: 12-2-0,"5' 8""",145 lbs.,"71""",Southpaw,9/21/1993,6.04, 0.37 , 0.50 ,2.01, 0.33 , 0.85 ,0
Roxanne Modafferi,Record: 22-15-0,"5' 7""",125 lbs.,"69""",,9/24/1982,4.21, 0.31 , 0.53 ,1.17, 0.13 , 0.50 ,0.2
Barb Honchak,Record: 10-5-0,"5' 4""",125 lbs.,"65""",,8/30/1979,4.04, 0.30 , 0.66 ,0, -   , -   ,1.3
Alessio Di Chirico,Record: 12-2-0,"6' 0""",185 lbs.,"74""",Orthodox,12/12/1989,3.36, 0.41 , 0.63 ,2.48, 0.56 , 0.77 ,0
Julian Marquez,Record: 7-2-0,"6' 2""",185 lbs.,"75""",Orthodox,5/8/1990,3.8, 0.40 , 0.53 ,0, -   , 0.52 ,3
Montana De La Rosa,Record: 9-4-0,"5' 7""",125 lbs.,"68""",,2/14/1995,3.79, 0.37 , 0.55 ,0, -   , -   ,1.8
Rachael Ostovich,Record: 4-4-0,"5' 3""",125 lbs.,"62""",,2/25/1991,2.68, 0.39 , 0.63 ,0.94, 1.00 , 1.00 ,1.9
